ticker,event_label,as_of_date,public_event_date,event_description
UAA,pre_disclosure,2016-02-25,2019-11-03,"FY2015 10-K (the channel-stuffing year) filed 2016-02-22; federal accounting probe first reported by WSJ/Bloomberg 2019-11-03"
KHC,pre_disclosure,2018-02-19,2019-02-21,"FY2017 10-K filed 2018-02-16; SEC procurement subpoena and $15.4B writedown disclosed 2019-02-21"
BHC,pre_disclosure,2015-02-28,2015-10-15,"FY2014 10-K filed 2015-02-25; Philidor/Valeant scandal first reported 2015-10-15"
GE,pre_disclosure,2017-02-27,2019-08-15,"FY2016 10-K (restated-OCF year) filed 2017-02-24; Markopolos fraud report published 2019-08-15"
HTZ,pre_disclosure,2020-02-28,2020-05-22,"FY2019 10-K filed 2020-02-25; Chapter 11 filed 2020-05-22"
WFC,pre_disclosure,2016-02-27,2016-09-08,"FY2015 10-K filed 2016-02-24; CFPB/OCC fake-accounts settlement announced 2016-09-08"
LKNCY,pre_disclosure,2020-04-05,2020-04-02,"FY2019 20-F not filed until 2021-06-30 -- fraud disclosed 2020-04-02 before that year's annual report existed at all"
UAA,full_history,2099-01-01,2099-01-01,"Control row: as_of_date far in the future, all filed history visible -- must reconcile with fct_beneish_mscore/fct_altman_zscore/fct_piotroski_fscore"
KHC,full_history,2099-01-01,2099-01-01,"Control row: as_of_date far in the future, all filed history visible -- must reconcile with fct_beneish_mscore/fct_altman_zscore/fct_piotroski_fscore"
BHC,full_history,2099-01-01,2099-01-01,"Control row: as_of_date far in the future, all filed history visible -- must reconcile with fct_beneish_mscore/fct_altman_zscore/fct_piotroski_fscore"
GE,full_history,2099-01-01,2099-01-01,"Control row: as_of_date far in the future, all filed history visible -- must reconcile with fct_beneish_mscore/fct_altman_zscore/fct_piotroski_fscore"
HTZ,full_history,2099-01-01,2099-01-01,"Control row: as_of_date far in the future, all filed history visible -- must reconcile with fct_beneish_mscore/fct_altman_zscore/fct_piotroski_fscore"
WFC,full_history,2099-01-01,2099-01-01,"Control row: as_of_date far in the future, all filed history visible -- must reconcile with fct_beneish_mscore/fct_altman_zscore/fct_piotroski_fscore"
LKNCY,full_history,2099-01-01,2099-01-01,"Control row: as_of_date far in the future, all filed history visible -- must reconcile with fct_beneish_mscore/fct_altman_zscore/fct_piotroski_fscore"
